Satellite ID,Time,Position ECI,Velocity ECI,Position ECEF,Velocity ECEF
41,2024-05-01 12:00:30,[-6883895.53730095  1844534.25         269483.10226546],[-0.05810792 -0.01556997 -0.0316831 ],[-5840018.85270764 -4084666.9592409    269483.10226546],[-0.02545232 -0.0545081  -0.0316831 ]
54,2024-05-01 12:00:30,[-1203934.22768652 -6827850.29749407  1909769.50852536],[ 0.01380439 -0.07828858  0.1652965 ],[ 4453779.50324241 -5313458.89662119  1909769.50852536],[ 0.06882499 -0.03978422  0.1652965 ]
55,2024-05-01 12:00:30,[ 1622056.19702374 -4456562.77440917  4277433.21027408],[-0.06089771 -0.16731508  0.11306947],[ 4455712.31824511 -1624390.90295146  4277433.21027408],[ 0.08894569 -0.15424503  0.11306947]
56,2024-05-01 12:00:30,[ 981456.17471027 -823539.51421605 5498962.13765179],[-0.17534796 -0.14713441  0.03054556],[1261852.12694038  221816.96077656 5498962.13765179],[-1.19927924e-04 -2.28900472e-01  3.05455588e-02]
57,2024-05-01 12:00:30,[-2485134.27231347   438196.22289216  5247048.60103639],[-0.21509611 -0.03792725 -0.06016301],[-1933940.87936705 -1621043.16916515  5247048.60103639],[-0.10930625 -0.18909511 -0.06016301]
58,2024-05-01 12:00:30,[-5311124.69702374 -1933091.30019274  3589192.62912643],[-0.14039402  0.05109924 -0.13475094],[-1935873.69436975 -5310111.16283487  3589192.62912643],[-0.12942695 -0.0746343  -0.13475094]
59,2024-05-01 12:00:30,[-4670524.67471027 -5566114.56038585   969615.39076231],[-0.02594377  0.03091858 -0.17323247],[ 1257986.49693497 -7156319.0265629    969615.39076231],[-4.03613292e-02  2.11465288e-05 -1.73232472e-01]
66,2024-05-01 12:00:30,[ 5477557.51019312 -3835427.05961443  2990055.75918182],[-0.0804652  -0.05634234  0.20200183],[6459919.55812648 1727303.18983975 2990055.75918182],[-0.00861257 -0.09785157  0.20200183]
67,2024-05-01 12:00:30,[4215821.77308491 -368836.61259069 5795561.88032085],[-0.18967235 -0.01659418  0.12784122],[2993990.64856181 2990855.00576819 5795561.88032085],[-0.10928886 -0.15590675  0.12784122]
68,2024-05-01 12:00:30,[ 582798.51289179  271763.40972279 7048151.87594332],[-0.20985302  0.09785607  0.01942565],[ 166758.22218748  621048.4303385  7048151.87594332],[-0.20990426 -0.09774611  0.01942565]
69,2024-05-01 12:00:30,[-1788489.01019312 -2554227.01498748  6412195.26827487],[-0.12082653  0.17255817 -0.094195  ],[  805454.70537783 -3012309.96101963  6412195.26827487],[-0.20984337  0.01846971 -0.094195  ]
70,2024-05-01 12:00:30,[ -526753.27308491 -6020817.46201122  4058096.11676151],[-0.01161937  0.13281001 -0.18257618],[ 4271383.61494251 -4275861.77694807  4058096.11676151],[-0.10916708  0.07652488 -0.18257618]
71,2024-05-01 12:00:30,[ 3106269.9871082  -6661417.4843247    616633.38795402],[ 0.0085613   0.01835976 -0.22203622],[ 7098616.04131683 -1906055.20151839   616633.38795402],[-0.00855168  0.01836424 -0.22203622]
12,2024-05-01 12:00:40,[3106269.98710821 6661417.48432469  541105.4010593 ],[-0.0085613   0.01835976  0.19484024],[-1916396.97900788  7095831.08255301   541105.4010593 ],[-0.01837669  0.00852491  0.19484024]
13,2024-05-01 12:00:40,[-526753.27308491 6020817.46201122 3561042.54114954],[0.01161937 0.13281001 0.16021344],[-4282081.31580373  4265148.4764788   3561042.54114954],[-0.07668388  0.10905546  0.16021344]
14,2024-05-01 12:00:40,[-1788489.01019312  2554227.01498748  5626801.20812589],[0.12082653 0.17255817 0.08265758],[-3013480.43729065   801064.44044156  5626801.20812589],[-0.01877546  0.20981624  0.08265758]
15,2024-05-01 12:00:40,[ 582798.51289179 -271763.40972279 6184863.03541444],[ 0.20985302  0.09785607 -0.01704631],[ 620804.77801827  167663.01047852 6184863.03541444],[ 0.09744014  0.21004647 -0.01704631]
